name,century,n_poems,totalWords,origin_city,origin_country,origin_region,center_city,center_country,center_region,route_text,direct_km,route_km,mobile,confidence,note,pc1,pc2,uniqueRatio,averageWordLength,commaRate,questionRate
نصرالله منشی,6,250,85096,غزنی,افغانستان,خراسان و افغانستان,غزنی,افغانستان,خراسان و افغانستان,غزنی,0.0,0.0,False,متوسط,دربار غزنوی؛ درباره اصل خاندان اختلاف است,3.6654,1.7241,0.6628,3.466,3.78,0.181
باباافضل کاشانی,6,202,7475,کاشان,ایران,مرکز، شمال و غرب ایران,کاشان,ایران,مرکز، شمال و غرب ایران,کاشان,0.0,0.0,False,بالا,,-3.5366,0.3149,0.8065,3.064,3.03,0.0
مهستی گنجوی,6,191,5385,گنجه,جمهوری آذربایجان,قفقاز و آذربایجان,گنجه,جمهوری آذربایجان,قفقاز و آذربایجان,گنجه,0.0,0.0,False,بالا,,-3.7876,-0.4889,0.8214,3.136,0.0,0.0
عبدالواسع جبلی,6,7,5263,غرجستان,افغانستان,خراسان و افغانستان,غرجستان,افغانستان,خراسان و افغانستان,غرجستان,0.0,0.0,False,بالا,,6.1268,-0.5781,0.5462,3.2,0.0,0.0
مولوی,7,6242,923696,بلخ,افغانستان,خراسان و افغانستان,قونیه,ترکیه,آناتولی، شام و عراق عرب,بلخ ← نیشابور ← بغداد ← دمشق ← قونیه,3028.269825941423,3425.716376734435,True,بالا,مهاجرت خانوادگی و شکل‌گیری کانون قونیه,-1.0878,0.0935,0.7,3.204,0.0,0.0
سعدی,7,1904,233043,شیراز,ایران,فارس، کرمان و جنوب ایران,شیراز,ایران,فارس، کرمان و جنوب ایران,شیراز ← بغداد ← دمشق ← شیراز,0.0,3233.9396656654553,False,بالا,تحصیل و سفرهای طولانی,-1.4989,-0.7964,0.7536,3.365,0.0,0.0
خواجوی کرمانی,7,932,126613,کرمان,ایران,فارس، کرمان و جنوب ایران,شیراز,ایران,فارس، کرمان و جنوب ایران,کرمان ← بغداد ← تبریز ← شیراز,440.3264520162285,2911.556662482769,True,بالا,سفرهای ادبی و پایان در شیراز,-0.0222,0.4944,0.7254,3.391,0.0,0.0
عراقی,7,579,76295,همدان,ایران,مرکز، شمال و غرب ایران,قونیه,ترکیه,آناتولی، شام و عراق عرب,همدان ← مولتان ← قونیه ← دمشق,1473.862403772959,6476.678509181501,True,بالا,شبکه سهروردیه و مولویه,-1.0154,2.2418,0.6964,3.213,3.247,0.862
سیف فرغانی,7,189,39995,فرغانه,ازبکستان,ماوراءالنهر و آسیای مرکزی,آق‌سرای,ترکیه,آناتولی، شام و عراق عرب,فرغانه ← آق‌سرای,3227.8495599376615,3227.8495599376615,True,بالا,مهاجرت به آناتولی,2.025,0.3755,0.6459,3.17,0.457,0.0
شاه نعمت‌الله ولی,8,2701,195568,حلب,سوریه,آناتولی، شام و عراق عرب,ماهان,ایران,فارس، کرمان و جنوب ایران,حلب ← قاهره ← کوهبنان ← ماهان,1992.8924902793647,3448.7606570265366,True,متوسط,درباره زادگاه حلب/کوهبنان اختلاف است,-1.9192,-1.1943,0.7143,3.23,0.0,0.0
اوحدی,8,1326,203831,مراغه,ایران,قفقاز و آذربایجان,مراغه,ایران,قفقاز و آذربایجان,مراغه ← اصفهان ← مراغه,0.0,1444.8483525085871,False,بالا,,0.0983,2.0915,0.6929,3.21,2.963,0.847
سلمان ساوجی,8,897,190867,ساوه,ایران,مرکز، شمال و غرب ایران,تبریز,ایران,قفقاز و آذربایجان,ساوه ← تبریز ← بغداد,497.84423251355685,1054.7646850970427,True,بالا,دربار جلایری,0.0181,0.2179,0.6891,3.21,0.602,0.0
امیرخسرو دهلوی,8,825,96288,پتیالی,هند,شبه‌قاره هند,دهلی,هند,شبه‌قاره هند,پتیالی ← دهلی,201.43950655112488,201.43950655112488,False,بالا,,-2.9304,-0.651,0.7822,3.257,0.0,0.0
حافظ,8,595,72384,شیراز,ایران,فارس، کرمان و جنوب ایران,شیراز,ایران,فارس، کرمان و جنوب ایران,شیراز,0.0,0.0,False,بالا,,-0.191,0.9054,0.732,3.226,0.0,0.0
عبید زاکانی,8,264,38560,قزوین,ایران,مرکز، شمال و غرب ایران,شیراز,ایران,فارس، کرمان و جنوب ایران,قزوین ← شیراز ← بغداد,780.740611929269,1662.6433505407056,True,متوسط,فعالیت در فارس و عراق,-1.7957,-0.7843,0.7293,3.396,0.0,0.0
شیخ محمود شبستری,8,101,21632,شبستر,ایران,قفقاز و آذربایجان,تبریز,ایران,قفقاز و آذربایجان,شبستر ← تبریز,52.79001402649982,52.79001402649982,False,بالا,,3.647,-0.4667,0.6206,3.226,0.0,0.0
هلالی جغتایی,9,353,45479,گرگان,ایران,مرکز، شمال و غرب ایران,هرات,افغانستان,خراسان و افغانستان,گرگان ← هرات,754.0007407227071,754.0007407227071,True,بالا,,0.1519,2.8008,0.697,3.153,1.6,0.833
جامی,9,188,64685,تربت جام,ایران,خراسان و افغانستان,هرات,افغانستان,خراسان و افغانستان,تربت جام ← هرات,174.95033287787308,174.95033287787308,False,بالا,,3.9874,0.2682,0.6518,3.279,2.396,0.379
محتشم کاشانی,10,972,163001,کاشان,ایران,مرکز، شمال و غرب ایران,کاشان,ایران,مرکز، شمال و غرب ایران,کاشان,0.0,0.0,False,بالا,,-0.626,0.3658,0.7089,3.274,0.0,0.0
عرفی,10,698,60658,شیراز,ایران,فارس، کرمان و جنوب ایران,لاهور,پاکستان,شبه‌قاره هند,شیراز ← فتیپور سیکری ← لاهور,2093.087310763434,3054.2089142200653,True,بالا,مهاجرت ادیبان به هند مغولی,-2.5674,-0.3931,0.7303,3.213,1.754,0.0
وحشی,10,651,144600,بافق,ایران,فارس، کرمان و جنوب ایران,یزد,ایران,فارس، کرمان و جنوب ایران,بافق ← کاشان ← یزد,102.94563655786003,818.8237494565811,False,بالا,,-0.8508,0.2238,0.7264,3.275,0.0,0.0
رضی‌الدین آرتیمانی,10,233,19907,آرتیمان,ایران,مرکز، شمال و غرب ایران,همدان,ایران,مرکز، شمال و غرب ایران,آرتیمان ← همدان,28.52625212154853,28.52625212154853,False,بالا,,-3.3579,-0.5802,0.7821,3.296,0.0,0.0
شیخ بهایی,10,176,16434,بعلبک,لبنان,آناتولی، شام و عراق عرب,اصفهان,ایران,مرکز، شمال و غرب ایران,بعلبک ← قزوین ← اصفهان,1441.9479199534628,1707.4182152147469,True,بالا,مهاجرت خانوادگی به ایران صفوی,-3.1713,1.0931,0.7931,3.241,7.407,0.0
صائب تبریزی,11,10043,1210269,تبریز,ایران,قفقاز و آذربایجان,اصفهان,ایران,مرکز، شمال و غرب ایران,تبریز ← اصفهان ← کابل ← آگرا ← اصفهان,775.9176289874624,6188.384975066219,True,بالا,رفت‌وبرگشت ایران و هند,-0.2175,-0.7692,0.6854,3.336,0.676,0.0
بیدل دهلوی,11,2827,483244,پتنا,هند,شبه‌قاره هند,دهلی,هند,شبه‌قاره هند,پتنا ← دهلی,853.5133928412747,853.5133928412747,True,بالا,,0.4464,-0.4718,0.743,3.474,0.0,0.0
فیض کاشانی,11,1016,137768,کاشان,ایران,مرکز، شمال و غرب ایران,کاشان,ایران,مرکز، شمال و غرب ایران,کاشان ← شیراز ← قم ← کاشان,0.0,1172.608338887011,False,بالا,,-1.3582,-0.1197,0.6575,3.308,0.0,0.0
هاتف اصفهانی,12,194,22895,اصفهان,ایران,مرکز، شمال و غرب ایران,اصفهان,ایران,مرکز، شمال و غرب ایران,اصفهان,0.0,0.0,False,بالا,,-2.0487,-0.4641,0.7218,3.198,0.0,0.0
قاآنی,13,625,301301,شیراز,ایران,فارس، کرمان و جنوب ایران,تهران,ایران,مرکز، شمال و غرب ایران,شیراز ← تهران,687.3620609147168,687.3620609147168,True,بالا,دربار قاجار,1.8468,-0.9486,0.6391,3.332,0.0,0.0
فروغی بسطامی,13,549,88959,کربلا,عراق,آناتولی، شام و عراق عرب,تهران,ایران,مرکز، شمال و غرب ایران,کربلا ← ساری ← تهران,758.9283601602478,1114.2209772603642,True,بالا,پس از مرگ پدر به ایران آمد,0.9554,-0.4945,0.6914,3.252,0.0,0.0
ملا هادی سبزواری,13,208,23700,سبزوار,ایران,خراسان و افغانستان,سبزوار,ایران,خراسان و افغانستان,سبزوار ← اصفهان ← کرمان ← سبزوار,0.0,1916.8400291048974,False,بالا,تحصیل و تدریس در چند مرکز,-1.8523,-0.6669,0.7944,3.444,0.0,0.0
ملک‌الشعرای بهار,14,1105,279418,مشهد,ایران,خراسان و افغانستان,تهران,ایران,مرکز، شمال و غرب ایران,مشهد ← تهران,742.3842530275197,742.3842530275197,True,بالا,انتقال مرکز ادبی به پایتخت,-0.2564,-0.2994,0.6815,3.392,0.935,0.0
اقبال لاهوری,14,972,102906,سیالکوت,پاکستان,شبه‌قاره هند,لاهور,پاکستان,شبه‌قاره هند,سیالکوت ← لاهور ← کمبریج ← مونیخ ← لاهور,109.04383479493683,12802.820821270745,False,بالا,تحصیل اروپایی و بازگشت,-3.1009,-0.2544,0.8286,3.348,0.0,0.0
احمد شاملو,14,323,66463,تهران,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,تهران,0.0,0.0,False,بالا,,0.0501,0.5737,0.6707,3.475,1.861,0.0
سیمین بهبهانی,14,227,38817,تهران,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,تهران,0.0,0.0,False,بالا,,1.7577,3.6901,0.6667,3.26,3.54,0.758
پروین اعتصامی,14,223,70776,تبریز,ایران,قفقاز و آذربایجان,تهران,ایران,مرکز، شمال و غرب ایران,تبریز ← تهران,525.583145416421,525.583145416421,True,بالا,,3.2635,1.2434,0.6652,3.418,6.422,0.0
شهریار,14,190,37244,تبریز,ایران,قفقاز و آذربایجان,تبریز,ایران,قفقاز و آذربایجان,تبریز ← تهران ← تبریز,0.0,1051.166290832842,False,بالا,,-0.608,0.3544,0.6932,3.377,0.0,0.0
کامبیز صدیقی کسمایی,14,181,11169,رشت,ایران,مرکز، شمال و غرب ایران,رشت,ایران,مرکز، شمال و غرب ایران,رشت,0.0,0.0,False,بالا,,-2.329,1.7707,0.7705,3.3,4.762,0.0
رهی معیری,14,159,15577,تهران,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,تهران,0.0,0.0,False,بالا,,-1.5559,-0.2281,0.7143,3.303,0.0,0.0
سهراب سپهری,14,136,24696,کاشان,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,کاشان ← تهران,189.04044690067533,189.04044690067533,False,بالا,سفرهای خارجی در تفسیر کیفی لحاظ می‌شود,-0.939,1.9182,0.6753,3.356,5.639,0.0
فروغ فرخزاد,14,124,34314,تهران,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,تهران,0.0,0.0,False,بالا,,2.3929,2.4304,0.6158,3.345,1.839,0.0
مهدی اخوان ثالث,14,116,34234,مشهد,ایران,خراسان و افغانستان,تهران,ایران,مرکز، شمال و غرب ایران,مشهد ← تهران,742.3842530275197,742.3842530275197,True,بالا,,2.8243,3.2811,0.5965,3.312,4.428,0.543
بهرام سالکی,14,104,27090,تهران,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,تهران,0.0,0.0,False,بالا,,3.5953,3.3981,0.681,3.339,5.94,0.803
شاطرعباس صبوحی,14,98,9683,قم,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,قم ← تهران,125.62153815448123,125.62153815448123,False,بالا,اقامت در تهران,-1.3332,0.8109,0.7322,3.176,4.181,0.0
شیون فومنی,14,97,8376,فومن,ایران,مرکز، شمال و غرب ایران,رشت,ایران,مرکز، شمال و غرب ایران,فومن ← رشت,24.81190484697071,24.81190484697071,False,بالا,,-2.2725,-0.5562,0.7842,3.5,0.0,0.0
نیما یوشیج (آوای آزاد),14,55,17389,یوش,ایران,مرکز، شمال و غرب ایران,تهران,ایران,مرکز، شمال و غرب ایران,یوش ← تهران,79.73906436909948,79.73906436909948,False,بالا,,2.8459,2.2156,0.6195,3.196,2.174,0.0
خلیل‌الله خلیلی,14,54,1481,کابل,افغانستان,خراسان و افغانستان,کابل,افغانستان,خراسان و افغانستان,کابل ← اسلام‌آباد ← واشینگتن,0.0,11741.576503066544,False,بالا,مهاجرت سیاسی متأخر,-4.2994,-1.2426,0.8181,3.14,0.0,0.0
محمدحسن بارق شفیعی,14,48,8420,کابل,افغانستان,خراسان و افغانستان,کابل,افغانستان,خراسان و افغانستان,کابل,0.0,0.0,False,بالا,اقامت متأخر در آلمان در مسیر اصلی محاسبه نشده,-0.0428,0.5778,0.6972,3.334,1.499,0.0
ا لیار (جبار محمدی),15,424,30736,ترکمانچای,ایران,قفقاز و آذربایجان,ترکمانچای,ایران,قفقاز و آذربایجان,ترکمانچای,0.0,0.0,False,متوسط,اطلاعات زندگینامه‌ای محدود,-2.3317,0.2138,0.8125,3.23,1.961,0.0
عبدالقهار عاصی,15,88,7830,پنجشیر,افغانستان,خراسان و افغانستان,کابل,افغانستان,خراسان و افغانستان,پنجشیر ← کابل,98.74333936899004,98.74333936899004,False,بالا,,-3.4511,-0.938,0.7667,3.348,1.613,0.0
